ppg_season_diff,net_goals_diff,home_pts_last_5,away_pts_last_5,pts_last_5_diff,best_player_diff,p(Home),p(Draw),p(Away),Result
0.15000000000000013,0.020000000000000018,10,10,0,6.5,0.457,0.258,0.285,1
-0.5199999999999998,-0.050000000000000044,4,2,2,-0.5,0.457,0.258,0.285,0
-0.30000000000000004,-0.02000000000000024,3,3,0,-4.5,0.457,0.258,0.285,1
-1.1199999999999999,-1.29,2,13,-11,-7.5,0.457,0.258,0.285,-1
1.27,1.01,13,2,11,6.5,0.457,0.258,0.285,1
-0.53,-0.6199999999999999,3,5,-2,1.0,0.457,0.258,0.285,-1
0.4700000000000001,0.7700000000000002,9,5,4,10.5,0.457,0.258,0.285,1
0.6200000000000001,0.2300000000000002,3,1,2,3.5,0.457,0.258,0.285,1
-1.44,-1.75,4,12,-8,-10.0,0.457,0.258,0.285,-1
0.19999999999999996,1.49,9,7,2,1.5,0.457,0.258,0.285,1
-0.7899999999999998,-1.5,9,13,-4,-3.0,0.457,0.258,0.285,-1
-0.17000000000000015,-0.050000000000000044,10,5,5,-5.0,0.457,0.258,0.285,-1
0.08999999999999986,-0.15999999999999992,3,5,-2,-5.5,0.457,0.258,0.285,0
0.71,1.22,10,10,0,12.0,0.457,0.258,0.285,1
1.03,0.009999999999999898,15,9,6,3.0,0.457,0.258,0.285,1
-0.16999999999999993,-0.15000000000000013,13,13,0,-5.0,0.457,0.258,0.285,-1
-0.8300000000000001,-0.8499999999999999,7,13,-6,-6.5,0.457,0.258,0.285,-1
0.26,-0.13000000000000012,8,9,-1,-4.0,0.457,0.258,0.285,0
0.0,0.3899999999999999,2,4,-2,3.5,0.457,0.258,0.285,1
-0.030000000000000027,0.16000000000000014,6,6,0,4.5,0.457,0.258,0.285,1
-0.31999999999999984,0.17999999999999994,7,6,1,-4.5,0.457,0.258,0.285,1
0.1100000000000001,-0.1200000000000001,5,3,2,2.5,0.457,0.258,0.285,0
-0.3999999999999999,0.2599999999999998,4,1,3,-3.0,0.457,0.258,0.285,1
-0.14000000000000012,-0.3900000000000001,1,7,-6,2.5,0.457,0.258,0.285,-1
0.5000000000000002,0.16000000000000003,15,10,5,6.0,0.457,0.258,0.285,0
0.020000000000000018,-0.5799999999999998,10,9,1,1.5,0.457,0.258,0.285,1
0.25,0.48,6,4,2,0.5,0.457,0.258,0.285,1
-0.7500000000000001,-0.3400000000000001,4,6,-2,-1.5,0.457,0.258,0.285,0
-0.44999999999999996,-0.13000000000000012,5,10,-5,3.5,0.457,0.258,0.285,-1
0.17000000000000015,0.18000000000000016,3,0,3,3.0,0.457,0.258,0.285,0
-1.3600000000000003,-1.01,7,13,-6,-14.5,0.457,0.258,0.285,-1
0.06000000000000005,-0.3200000000000003,5,4,1,0.5,0.457,0.258,0.285,1
0.0,0.3699999999999999,7,1,6,1.5,0.457,0.258,0.285,1
1.03,1.49,13,6,7,6.5,0.457,0.258,0.285,1
0.6400000000000001,1.0899999999999999,8,9,-1,8.5,0.457,0.258,0.285,1
0.8600000000000003,0.23999999999999977,13,10,3,3.5,0.457,0.258,0.285,1
-1.1900000000000002,-1.3299999999999998,4,13,-9,-10.5,0.457,0.258,0.285,-1
0.44000000000000006,0.55,4,2,2,1.0,0.457,0.258,0.285,1
0.67,-0.04999999999999982,6,4,2,1.0,0.457,0.258,0.285,1
0.15999999999999992,1.45,9,4,5,3.5,0.457,0.258,0.285,1
0.2400000000000001,-0.1399999999999999,6,6,0,10.5,0.457,0.258,0.285,0
-0.19000000000000017,-0.51,10,8,2,-4.0,0.457,0.258,0.285,-1
-1.4000000000000001,-1.6400000000000001,1,13,-12,-1.0,0.457,0.258,0.285,-1
